"","Sample.ID","Database.Schema.Definitions.Url","Latitude","Longitude","LandUse","LanduseID"
"48","SampleID.102.100.100.12580","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-35.8748666,149.01088,"1 Conservation and natural environments",1
"49","SampleID.102.100.100.12582","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-35.8748166,149.01165,"1 Conservation and natural environments",1
"50","SampleID.102.100.100.12816","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-16.10341667,145.4478833,"1 Conservation and natural environments",1
"51","SampleID.102.100.100.12818","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-16.10298333,145.4472167,"1 Conservation and natural environments",1
"52","SampleID.102.100.100.12819","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-16.10341667,145.4478833,"1 Conservation and natural environments",1
"53","SampleID.102.100.100.12824","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-17.12108333,145.6308833,"1 Conservation and natural environments",1
"54","SampleID.102.100.100.12828","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-17.1036,145.61195,"1 Conservation and natural environments",1
"55","SampleID.102.100.100.12830","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-17.09208333,145.6202167,"1 Conservation and natural environments",1
"56","SampleID.102.100.100.12834","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-27.387121,152.87905,"1 Conservation and natural environments",1
"57","SampleID.102.100.100.12838","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-27.632688,153.083025,"1 Conservation and natural environments",1
"58","SampleID.102.100.100.12876","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-14.195246,135.71916,"1 Conservation and natural environments",1
"59","SampleID.102.100.100.12878","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-12.93256,135.20189,"1 Conservation and natural environments",1
"60","SampleID.102.100.100.12880","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-12.50916,135.81029,"1 Conservation and natural environments",1
"61","SampleID.102.100.100.12882","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-13.52115,134.50615,"1 Conservation and natural environments",1
"62","SampleID.102.100.100.12884","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-36.673214,145.029247,"1 Conservation and natural environments",1
"63","SampleID.102.100.100.12891","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-37.25205,144.05391,"1 Conservation and natural environments",1
"64","SampleID.102.100.100.12897","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-34.003639,140.587564,"1 Conservation and natural environments",1
"65","SampleID.102.100.100.12899","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-34.098,140.3515262,"1 Conservation and natural environments",1
"66","SampleID.102.100.100.12901","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-33.971572,140.728053,"1 Conservation and natural environments",1
"67","SampleID.102.100.100.12903","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-43.09507123,146.6542886,"1 Conservation and natural environments",1
"68","SampleID.102.100.100.12939","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-13.40822,135.77629,"1 Conservation and natural environments",1
"69","SampleID.102.100.100.13268","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-39.935,144.11969,"1 Conservation and natural environments",1
"70","SampleID.102.100.100.13270","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-39.89271,144.08213,"1 Conservation and natural environments",1
"71","SampleID.102.100.100.13729","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-30.19191,120.6551097,"1 Conservation and natural environments",1
"72","SampleID.102.100.100.13731","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-30.19158083,120.6517306,"1 Conservation and natural environments",1
"73","SampleID.102.100.100.13733","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-30.19192056,120.6425258,"1 Conservation and natural environments",1
"74","SampleID.102.100.100.13735","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-30.19443861,120.6336736,"1 Conservation and natural environments",1
"75","SampleID.102.100.100.13739","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-13.179121,130.794355,"1 Conservation and natural environments",1
"76","SampleID.102.100.100.138358","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.9227,116.46573,"1 Conservation and natural environments",1
"77","SampleID.102.100.100.138362","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.92846,116.47382,"1 Conservation and natural environments",1
"78","SampleID.102.100.100.138364","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.92999,116.45609,"1 Conservation and natural environments",1
"79","SampleID.102.100.100.138366","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.93049,116.45549,"1 Conservation and natural environments",1
"80","SampleID.102.100.100.138368","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.91135,116.45389,"1 Conservation and natural environments",1
"81","SampleID.102.100.100.138370","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.91668,116.45506,"1 Conservation and natural environments",1
"82","SampleID.102.100.100.138372","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.91866,116.44543,"1 Conservation and natural environments",1
"83","SampleID.102.100.100.138374","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.90898,116.44527,"1 Conservation and natural environments",1
"84","SampleID.102.100.100.138376","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.90357,116.4481,"1 Conservation and natural environments",1
"85","SampleID.102.100.100.138378","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.88975,116.43892,"1 Conservation and natural environments",1
"86","SampleID.102.100.100.138380","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.89086,116.44391,"1 Conservation and natural environments",1
"87","SampleID.102.100.100.138382","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.88755,116.4481,"1 Conservation and natural environments",1
"88","SampleID.102.100.100.138384","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.90269,116.42808,"1 Conservation and natural environments",1
"89","SampleID.102.100.100.138386","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.9041,116.4337,"1 Conservation and natural environments",1
"90","SampleID.102.100.100.138388","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.92172,116.43233,"1 Conservation and natural environments",1
"91","SampleID.102.100.100.138390","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.9151,116.43416,"1 Conservation and natural environments",1
"92","SampleID.102.100.100.138392","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.9237,116.43931,"1 Conservation and natural environments",1
"93","SampleID.102.100.100.138394","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.93388,116.42781,"1 Conservation and natural environments",1
"94","SampleID.102.100.100.138396","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.92279,116.44985,"1 Conservation and natural environments",1
"95","SampleID.102.100.100.138398","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.92499,116.47131,"1 Conservation and natural environments",1
"96","SampleID.102.100.100.138400","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-32.92707,116.46324,"1 Conservation and natural environments",1
